<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SBER,M,20090301,000000,20.8500000
SBER,M,20090401,000000,27.8000000
SBER,M,20090501,000000,44.1300000
SBER,M,20090601,000000,38.0800000
SBER,M,20090701,000000,42.3900000
SBER,M,20090801,000000,47.4500000
SBER,M,20090901,000000,59.8500000
SBER,M,20091001,000000,64.6100000
SBER,M,20091101,000000,69.2100000
SBER,M,20091201,000000,82.9400000
SBER,M,20100101,000000,88.4100000
SBER,M,20100201,000000,76.3000000
SBER,M,20100301,000000,85.8000000
SBER,M,20100401,000000,78.6000000
SBER,M,20100501,000000,71.0000000
SBER,M,20100601,000000,76.5000000
SBER,M,20100701,000000,84.5600000
SBER,M,20100801,000000,78.3100000
SBER,M,20100901,000000,86.0800000
SBER,M,20101001,000000,101.3600000
SBER,M,20101101,000000,101.5100000
SBER,M,20101201,000000,104.1800000
SBER,M,20110101,000000,105.9000000
SBER,M,20110201,000000,102.1000000
SBER,M,20110301,000000,106.6500000
SBER,M,20110401,000000,100.0000000
SBER,M,20110501,000000,97.5900000
SBER,M,20110601,000000,100.0000000
SBER,M,20110701,000000,101.7500000
SBER,M,20110801,000000,84.9300000
SBER,M,20110901,000000,70.4400000
SBER,M,20111001,000000,81.8800000
SBER,M,20111101,000000,87.5500000
SBER,M,20111201,000000,79.4000000
SBER,M,20120101,000000,90.1700000
SBER,M,20120201,000000,100.1900000
SBER,M,20120301,000000,94.8600000
SBER,M,20120401,000000,93.9500000
SBER,M,20120501,000000,81.6900000
SBER,M,20120601,000000,86.3900000
SBER,M,20120701,000000,89.7300000
SBER,M,20120801,000000,93.1600000
SBER,M,20120901,000000,90.9900000
SBER,M,20121001,000000,91.7900000
SBER,M,20121101,000000,91.4100000
SBER,M,20121201,000000,92.9400000
SBER,M,20130101,000000,109.5900000
SBER,M,20130201,000000,104.5700000
SBER,M,20130301,000000,98.8600000
SBER,M,20130401,000000,99.1100000
SBER,M,20130501,000000,99.0500000
SBER,M,20130601,000000,93.6800000
SBER,M,20130701,000000,95.2300000
SBER,M,20130801,000000,88.2300000
SBER,M,20130901,000000,97.8600000
SBER,M,20131001,000000,102.7400000
SBER,M,20131101,000000,103.0700000
SBER,M,20131201,000000,101.1700000
SBER,M,20140101,000000,94.7000000
SBER,M,20140201,000000,91.1600000
SBER,M,20140301,000000,83.8000000
SBER,M,20140401,000000,72.5000000
SBER,M,20140501,000000,84.5000000
SBER,M,20140601,000000,84.5000000
SBER,M,20140701,000000,73.6000000
SBER,M,20140801,000000,73.2100000
SBER,M,20140901,000000,75.5200000
SBER,M,20141001,000000,76.2300000
SBER,M,20141101,000000,72.2500000
SBER,M,20141201,000000,54.9000000
SBER,M,20150101,000000,61.5000000
SBER,M,20150201,000000,75.9100000
SBER,M,20150301,000000,62.8800000
SBER,M,20150401,000000,76.9000000
SBER,M,20150501,000000,73.5000000
SBER,M,20150601,000000,72.3500000
SBER,M,20150701,000000,72.3000000
SBER,M,20150801,000000,74.5000000
SBER,M,20150901,000000,75.3000000
SBER,M,20151001,000000,90.5300000
SBER,M,20151101,000000,102.9000000
SBER,M,20151201,000000,101.2600000
SBER,M,20160101,000000,96.5000000
SBER,M,20160201,000000,107.0000000
SBER,M,20160301,000000,109.9000000
SBER,M,20160401,000000,123.5500000
SBER,M,20160501,000000,132.5600000
SBER,M,20160601,000000,133.0000000
SBER,M,20160701,000000,139.1500000
SBER,M,20160801,000000,143.5000000
SBER,M,20160901,000000,145.3400000
SBER,M,20161001,000000,147.4000000
SBER,M,20161101,000000,158.7000000
SBER,M,20161201,000000,173.2500000
SBER,M,20170101,000000,172.2000000
SBER,M,20170201,000000,156.0000000
SBER,M,20170301,000000,157.4200000
